NEWCODE,HTS_MASTER_CODE,COUNTRY,NEWRATE,NEWRATE_CLEAN,RATE_MODIFIER,ADDITIONAL_DUTY_PCT,ADDITIONAL_VALUE,ADDITIONAL_UNIT,TRADEPROGRAM,MATCH_PRIORITY
9901.00.50,2207.10.60,Canada,0,0.0,,,,,USMCA,10
9901.00.50,2207.10.60,Colombia,0,0.0,,,,,COTPA,10
9901.00.50,2207.10.60,Israel,0,0.0,,,,,ILFTA,10
9901.00.50,2207.10.60,Mexico,0,0.0,,,,,USMCA,10
9901.00.50,2207.10.60,Peru,0,0.0,,,,,PTPA,10
9901.00.50,2710.12.15,Global,Base Rate,,,,0.1427,cents/liter,,20
9901.00.50,2710.19.16,Global,Base Rate,,,,0.1427,cents/liter,,20
9901.00.50,2710.19.24,Global,Base Rate,,,,0.1427,cents/liter,,20
9901.00.50,2710.20.15,Global,Base Rate,,,,0.1427,cents/liter,,20
9901.00.52,2909.19.18,Canada,0,0.0,,,,,USMCA,10
9901.00.52,2909.19.18,Colombia,0,0.0,,,,,COTPA,10
9901.00.52,2909.19.18,Global,Base Rate,,,,0.0599,cents/liter,,20
9901.00.52,2909.19.18,Israel,0,0.0,,,,,ILFTA,10
9901.00.52,2909.19.18,Mexico,0,0.0,,,,,USMCA,10
9901.00.52,2909.19.18,Peru,0,0.0,,,,,PTPA,10
9902.01.01,0710.80.70,Global,0,0.0,,,,,MTB,20
9902.01.02,1514.99.90,Global,0,0.0,,,,,MTB,20
9902.01.03,1805.00.00,Global,0,0.0,,,,,MTB,20
9902.01.04,2001.90.25,Global,0.072,0.072,,,,,MTB,20
9902.01.05,2001.90.38,Global,0,0.0,,,,,MTB,20
9902.01.06,2001.90.38,Global,0,0.0,,,,,MTB,20
9902.01.07,2005.70.25,Global,0,0.0,,,,,MTB,20
9902.01.08,2005.99.50,Global,0,0.0,,,,,MTB,20
9902.01.09,2005.99.55,Global,0,0.0,,,,,MTB,20
9902.01.10,2005.99.80,Global,0.127,0.127,,,,,MTB,20
9902.01.11,2008.80.00,Global,0,0.0,,,,,MTB,20
9902.01.12,2106.90.82,Global,0,0.0,,,,,MTB,20
9902.01.13,2106.90.98,Global,0.058,0.058,,,,,MTB,20
9902.01.14,2009.90.40,Global,0,0.0,,,,,MTB,20
9902.01.15,2009.89.70,Global,0,0.0,,,,,MTB,20
9902.01.16,2009.89.70,Global,0,0.0,,,,,MTB,20
9902.01.17,2009.89.70,Global,0,0.0,,,,,MTB,20
9902.01.18,2710.12.90,Global,0,0.0,,,,,MTB,20
9902.01.19,2710.19.90,Global,0,0.0,,,,,MTB,20
9902.01.20,2805.11.00,Global,0.025,0.025,,,,,MTB,20
9902.01.21,2805.11.00,Global,0.07,0.07,,,,,MTB,20
9902.01.22,2811.19.61,Global,0,0.0,,,,,MTB,20
9902.01.23,2811.19.61,Global,0,0.0,,,,,MTB,20
9902.01.24,2811.19.61,Global,0,0.0,,,,,MTB,20
9902.01.25,2811.19.61,Global,0,0.0,,,,,MTB,20
9902.01.26,2811.22.10,Global,0,0.0,,,,,MTB,20
9902.01.27,2811.22.10,Global,0,0.0,,,,,MTB,20
9902.01.28,2811.22.10,Global,0,0.0,,,,,MTB,20
9902.01.29,2811.22.10,Global,0,0.0,,,,,MTB,20
9902.01.30,2811.22.10,Global,0,0.0,,,,,MTB,20
9902.01.31,2811.22.10,Global,0,0.0,,,,,MTB,20
9902.01.32,2811.22.10,Global,0,0.0,,,,,MTB,20
9902.01.33,2812.17.00,Global,0,0.0,,,,,MTB,20
9902.01.34,2819.90.00,Global,0,0.0,,,,,MTB,20
9902.01.35,2821.10.00,Global,0.021,0.021,,,,,MTB,20
9902.01.36,2825.10.00,Global,0.027,0.027,,,,,MTB,20
9902.01.37,2825.10.00,Global,0,0.0,,,,,MTB,20
9902.01.38,2825.10.00,Global,0,0.0,,,,,MTB,20
9902.01.39,2825.60.00,Global,0,0.0,,,,,MTB,20
9902.01.40,2825.90.20,Global,0,0.0,,,,,MTB,20
9902.01.41,2826.19.10,Global,0,0.0,,,,,MTB,20
9902.01.42,2826.19.20,Global,0,0.0,,,,,MTB,20
9902.01.43,2826.19.90,Global,0,0.0,,,,,MTB,20
9902.01.44,2826.19.90,Global,0,0.0,,,,,MTB,20
9902.01.45,2826.19.90,Global,0,0.0,,,,,MTB,20
9902.01.46,2826.19.90,Global,0,0.0,,,,,MTB,20
9902.01.47,2826.90.90,Global,0,0.0,,,,,MTB,20
9902.01.48,2826.90.90,Global,0,0.0,,,,,MTB,20
9902.01.49,2826.90.90,Global,0,0.0,,,,,MTB,20
