country_name,country_id,year,iso3,region,v2excrptps,v2exthftps,v2cltrnslw,v2clrspct,v2stcritrecadm,risk_v2excrptps,risk_v2exthftps,risk_v2cltrnslw,risk_v2clrspct,risk_v2stcritrecadm,corruption_score,risk_level
Venezuela,51,2025,VEN,2,-3.218,-3.277,-2.199,-2.626,-1.698,100,100,82.86255096,87.72208963,85.6509161,91.24711134,Very High
Nicaragua,59,2025,NIC,2,-2.305,-1.966,-3.376,-3.552,-1.859,85.8075548,79.73724884,100,100,88.756027,91.16368143,Very High
Chad,109,2025,TCD,4,-2.686,-2.983,-0.79,-3.11,-1.894,91.73014146,95.45595054,62.34711706,94.13948555,89.43105111,86.43445869,Very High
Afghanistan,36,2025,AFG,8,-1.611,-2.154,-2.447,-3.195,-1.278,75.01943106,82.64296754,86.47350029,95.26650756,77.55062681,83.00942983,Very High
Libya,124,2025,LBY,3,-1.182,-1.534,-2.451,-2.366,-2.358,68.35069175,73.06027821,86.53174141,84.27472819,98.37994214,81.88399702,Very High
South Sudan,32,2025,SSD,4,-2.307,-1.772,-1.675,-2.626,-1.337,85.83864449,76.73879444,75.23296447,87.72208963,78.68852459,81.29919603,Very High
Eritrea,115,2025,ERI,4,-1.563,-1.049,-2.421,-1.721,-2.169,74.27327841,65.56414219,86.09493302,75.72261999,94.73481196,79.71341393,Very High
Central African Republic,71,2025,CAF,4,-1.912,-1.739,-1.448,-2.192,-1.218,79.69842997,76.22874807,71.92778101,81.96764784,76.39344262,77.416694,Very High
Yemen,14,2025,YEM,3,-0.818,-1.816,-1.765,-3.062,-1.382,62.69236748,77.41885626,76.54338963,93.50304959,79.55641273,77.2064907,Very High
Cambodia,55,2025,KHM,7,-2.063,-1.47,-1.754,-1.86,-0.735,82.04570185,72.07109737,76.38322656,77.56563246,67.07810993,75.52748386,Very High
Burma/Myanmar,10,2025,MMR,7,-1.951,-1.308,-1.815,-1.6,-1.006,80.304679,69.56723338,77.27140361,74.11827102,72.30472517,75.25013472,Very High
Burundi,69,2025,BDI,4,-1.449,-2.234,-1.178,-1.246,-1.676,72.50116586,83.87944359,67.99650553,69.42455582,85.22661524,75.23674332,Very High
Democratic Republic of the Congo,111,2025,COD,4,-2.232,-1.11,-1.194,-2.159,-0.896,84.67278097,66.50695518,68.22947001,81.53009812,70.18322083,75.13279631,Very High
