country_name,country_id,year,iso3,region,v2excrptps,v2exthftps,v2cltrnslw,v2clrspct,v2stcritrecadm,risk_v2excrptps,risk_v2exthftps,risk_v2cltrnslw,risk_v2clrspct,risk_v2stcritrecadm,risk_score,risk_level
Venezuela,51,2025,VEN,2.0,-3.218,-3.277,-2.199,-2.626,-1.698,100.0,100.0,82.86255096097844,87.72208963139751,85.65091610414657,91.24711133930452,Very High
Nicaragua,59,2025,NIC,2.0,-2.305,-1.966,-3.376,-3.552,-1.859,85.80755479558526,79.7372488408037,100.0,100.0,88.75602700096432,91.16368142520975,Very High
Chad,109,2025,TCD,4.0,-2.686,-2.983,-0.79,-3.11,-1.894,91.73014145810664,95.45595054095826,62.34711706464764,94.1394855476001,89.43105110896816,86.43445868991358,Very High
Afghanistan,36,2025,AFG,8.0,-1.611,-2.154,-2.447,-3.195,-1.278,75.01943105860407,82.64296754250385,86.47350029120558,95.26650755767702,77.55062680810028,83.00942982742318,Very High
Libya,124,2025,LBY,3.0,-1.182,-1.534,-2.451,-2.366,-2.358,68.3506917456863,73.06027820710973,86.53174140943504,84.27472818880933,98.37994214079073,81.88399701529507,Very High
South Sudan,32,2025,SSD,4.0,-2.307,-1.772,-1.675,-2.626,-1.337,85.8386444893518,76.7387944358578,75.23296447291787,87.72208963139751,78.68852459016394,81.29919602661249,Very High
Eritrea,115,2025,ERI,4.0,-1.563,-1.049,-2.421,-1.721,-2.169,74.27327840820767,65.56414219474497,86.09493302271403,75.72261999469637,94.7348119575699,79.71341392625973,Very High
Central African Republic,71,2025,CAF,4.0,-1.912,-1.739,-1.448,-2.192,-1.218,79.69842997046479,76.22874806800618,71.92778101339545,81.96764783876957,76.39344262295081,77.4166939978403,Very High
Yemen,14,2025,YEM,3.0,-0.818,-1.816,-1.765,-3.062,-1.382,62.69236748018031,77.41885625965996,76.54338963308095,93.50304958896845,79.55641272902602,77.20649069920916,Very High
Cambodia,55,2025,KHM,7.0,-2.063,-1.47,-1.754,-1.86,-0.735,82.04570184983679,72.0710973724884,76.38322655794991,77.5656324582339,67.07810993249758,75.52748385806873,Very High
Burma/Myanmar,10,2025,MMR,7.0,-1.951,-1.308,-1.815,-1.6,-1.006,80.30467899891187,69.56723338485317,77.27140361094933,74.11827101564572,72.30472516875601,75.25013471652616,Very High
Burundi,69,2025,BDI,4.0,-1.449,-2.234,-1.178,-1.246,-1.676,72.50116586351623,83.8794435857805,67.99650553290623,69.42455582073721,85.22661523625843,75.23674332172651,Very High
Democratic Republic of the Congo,111,2025,COD,4.0,-2.232,-1.11,-1.194,-2.159,-0.896,84.67278097310742,66.50695517774342,68.22947000582411,81.53009811721029,70.18322082931532,75.13279631040831,Very High
Guinea,63,2025,GIN,4.0,-1.47,-2.387,-1.154,-1.807,-1.117,72.82760764806466,86.24420401854714,67.6470588235294,76.86290108724478,74.44551591128253,74.93462767920957,High
Cameroon,108,2025,CMR,4.0,-1.893,-2.783,0.233,-1.701,-1.276,79.40307787968288,92.3647604327666,47.451951077460684,75.45743834526651,77.51205400192863,73.78977221976687,High
Madagascar,125,2025,MDG,4.0,-2.156,-1.428,-1.154,-1.621,-0.551,83.49137260997979,71.42194744976817,67.6470588235294,74.39671174754709,63.52941176470588,72.70077173711665,High
Mauritania,65,2025,MRT,4.0,-2.108,-1.945,-1.124,-0.918,-0.708,82.74521995958341,79.41267387944357,67.21025043680838,65.07557677008752,66.55737704918032,72.36684692302762,High
Sudan,33,2025,SDN,4.0,-0.794,-1.439,-0.976,-1.602,-1.78,62.319291154982125,71.59196290571869,65.055329062318,74.14478918058872,87.23240115718417,71.60512110462152,High
Mozambique,57,2025,MOZ,4.0,-2.184,-1.53,-0.653,-1.206,-0.594,83.92662832271103,72.99845440494589,60.35235876528829,68.89419252187749,64.35872709739633,70.65248091833206,High
Azerbaijan,106,2025,AZE,1.0,-1.379,-0.702,-1.447,-0.936,-1.352,71.41302658168817,60.200927357032455,71.91322073383809,65.31424025457439,78.97782063645128,70.12445207394967,High
El Salvador,22,2025,SLV,2.0,-0.283,-0.724,-1.994,-1.329,-1.711,54.37587439763718,60.54095826893353,79.8776936517181,70.52505966587113,85.90163934426228,69.93599087211963,High
Türkiye,99,2025,TUR,3.0,-0.841,-1.055,-1.801,-1.693,-0.815,63.04989895849526,65.65687789799073,77.06755969714618,75.35136568549457,68.62102217936354,69.81899593672328,High
Egypt,13,2025,EGY,3.0,-1.781,-0.974,-1.278,-0.992,-0.373,77.66205502875796,64.40494590417309,69.45253348864297,66.056748872978,60.096432015429116,68.19739851822548,High
Lebanon,44,2025,LBN,3.0,-2.21,-1.329,-0.057,-1.039,-0.595,84.33079434167573,69.8918083462133,51.67443214909726,66.67992574913816,64.37801350048215,68.11294411709444,High
Ecuador,75,2025,ECU,2.0,-0.878,-0.7,-0.719,-0.941,-1.776,63.62505829317582,60.170015455950534,61.31333721607455,65.38053566693185,87.15525554484088,67.701592577256,High
Guinea-Bissau,119,2025,GNB,4.0,-1.728,-2.004,0.418,-1.255,-0.688,76.83817814394529,80.32457496136011,44.758299359347696,69.54388756298064,66.17164898746384,67.35299796214878,High
Zimbabwe,62,2025,ZWE,4.0,-1.856,-1.603,-1.206,-0.848,0.327,78.82791854500233,74.12673879443585,68.40419336051252,64.14744099708301,46.59594985535197,66.65550729800546,High
North Korea,41,2025,PRK,6.0,-1.632,-1.3,-1.809,-1.85,1.188,75.34587284315249,69.4435857805255,77.18404193360512,77.43304163351897,29.990356798457086,66.1744941509832,High
Haiti,26,2025,HTI,2.0,-1.29,-0.803,-1.055,-1.294,-0.379,70.02953520907819,61.761978361669236,66.20559114735002,70.06099177936888,60.21215043394405,66.06742722865252,High
Indonesia,56,2025,IDN,7.0,-1.751,-1.223,-0.646,-0.75,-0.14,77.19570962226021,68.25347758887172,60.25043680838672,62.848050914876694,55.60270009643201,65.27718660783489,High
Mongolia,89,2025,MNG,1.0,-1.601,-1.436,0.015,0.09,-1.071,74.8639825897715,71.54559505409581,50.626092020966794,51.7104216388226,73.55834136933461,64.62680591138205,High
Uganda,50,2025,UGA,4.0,-2.258,-1.994,0.325,0.084,-0.098,85.07694699207214,80.17001545595053,46.112405358182876,51.78997613365155,54.792671166827375,63.83374959814298,High
Pakistan,29,2025,PAK,8.0,-1.609,-0.358,-0.877,-1.336,0.183,74.98834136483755,54.88408037094281,63.6138613861386,70.61787324317159,49.3731918997107,63.70068270265499,High
Iraq,80,2025,IRQ,3.0,-0.817,-1.516,-0.187,-0.928,-0.69,62.67682263329707,72.78207109737248,53.56726849155503,65.20816759480245,66.21022179363548,63.58364789892873,High
Ethiopia,38,2025,ETH,4.0,-1.035,-0.774,-0.246,-1.015,-0.728,66.06559925384735,61.31375579598145,54.42632498543972,66.36170776982233,66.94310511089682,63.25969075609083,High
Nigeria,45,2025,NGA,4.0,-2.29,-1.976,0.231,-0.77,0.854,85.57438209233639,79.8918083462133,47.48107163657542,63.11323256430656,36.43201542912246,62.782630701016984,High
Belarus,107,2025,BLR,1.0,0.68,0.468,-1.527,-0.478,-2.442,39.40618684905953,42.11746522411128,73.07804309842749,59.24158048263061,100.0,62.63309121209319,High
Liberia,86,2025,LBR,4.0,-1.742,-1.499,-0.004,-0.059,-0.123,77.0558060003109,72.5193199381762,50.90273733255678,53.686024927075046,55.27483124397299,62.11456819152512,High
Russia,11,2025,RUS,1.0,-0.739,-1.55,-0.883,-1.049,0.376,61.464324576402916,73.30757341576508,63.701223063482814,66.81251657385309,45.650916104146575,61.59514830476199,High
Ivory Coast,64,2025,CIV,4.0,-0.608,-1.017,0.544,-0.199,-1.696,59.4279496346961,65.06955177743431,42.92370413511939,55.542296473084065,85.61234329797493,61.43308895652485,High
